time,cpu_index
411,182.10796072694922
412,113.51437628502802
413,163.30674173768062
414,113.23711063955663
415,62.01636345638843
416,99.45355105781297
417,216.59189381923414
418,230.71323692182733
419,200.1205213528249
420,293.2507496384978
421,220.57980795495146
422,150.84550048653787
423,198.65906491104954
424,280.01682513798875
425,258.4338221663653
426,296.47209595908123
427,230.49616439971726
428,324.98062150518626
429,157.97211822733945
430,232.44634732559416
431,273.8438790023762
432,312.9649884837215
433,332.75515531239216
434,353.4424692007469
