"Date","ARFIMA","ARIMA","ARNN","BSTS"
2021-07-01,167.297887996341,169.131024264477,185.533710256035,177.52821539333
2021-08-01,164.933955277968,157.551214036304,175.41371556175,176.821130576821
2021-09-01,163.136554397614,169.067846085732,195.18100845773,191.9118956935
2021-10-01,161.66120043404,154.27761804316,152.09369456691,188.428575721028
2021-11-01,160.326548124699,156.889210285661,178.701497686565,200.678603012096
2021-12-01,159.083942642875,165.514270998721,177.461974369309,203.223696117492
2022-01-01,157.91357458227,167.181481837922,185.764237509106,193.767629908708
2022-02-01,156.805063371737,154.079073917403,140.749020496519,197.965376230718
2022-03-01,155.75171783145,152.179633359627,150.637804179894,191.296736941146
2022-04-01,154.74853510224,127.588719355398,140.912363897325,186.81322843019
2022-05-01,153.791420149528,143.104323454851,124.412791976945,194.291297725111
2022-06-01,152.876849707158,153.657595961215,138.77429914156,197.522618330966
2022-07-01,152.00171155438,151.445149885852,154.293172530059,184.82644509263
2022-08-01,151.163217794451,153.247210054105,196.134080478447,189.049296265856
2022-09-01,150.358851521736,181.39195059811,167.464359947674,202.366614540859
2022-10-01,149.58632975644,176.494709826131,161.014430892554,193.79319909622
2022-11-01,148.843575095951,177.382281451191,167.585135636994,205.059966549662
2022-12-01,148.128692592548,191.860069544603,173.544487332424,206.456079864664
2023-01-01,147.439950149361,188.57099708561,176.310645240743,198.876124163982
2023-02-01,146.775761532705,189.088454051331,201.206709027166,204.273295741372
2023-03-01,146.13467147545,207.139427534426,224.260136316361,200.801684235661
2023-04-01,145.51534252936,182.063085913986,185.359020893275,193.672299095006
2023-05-01,144.916543418885,163.921739757439,184.958713762837,201.486881467037
2023-06-01,144.337138702077,162.955211568033,197.468118060101,204.976518181731
