"Date","ARFIMA","ARIMA","ARNN","BSTS"
2022-07-31,172.280655165071,183.397932841879,140.097936954391,178.905670755125
2022-08-31,164.743836342327,180.072918525297,159.847974826035,179.3329147062
2022-09-30,161.404949290961,180.801965512675,144.706713095542,180.692190961228
2022-10-31,158.275707647913,180.891217423905,149.481873848105,180.611458513028
2022-11-30,155.803989010256,181.268538775453,148.768345371084,180.759577992188
2022-12-31,153.656429461855,181.649779100391,167.829499351084,180.739562385761
2023-01-31,151.779858821513,182.064521791644,163.055576330394,179.208443265787
2023-02-28,150.105586330966,182.488548409652,149.481583003625,179.673452653732
2023-03-31,148.595087761242,182.918801339258,152.996767625512,179.942927588388
2023-04-30,147.218729646624,183.351743951497,161.428802117704,179.992998286539
2023-05-31,145.954905033089,183.786098208908,150.556844645405,179.252259080317
2023-06-30,144.78691347406,184.221128191067,154.269478312828,177.69367892413
