time,cpu_index
411,134.7108669667207
412,81.90182395342606
413,172.8016895416278
414,155.67460243398588
415,140.78758505284026
416,154.04089542590754
417,174.48836251760076
418,193.45366824326047
419,229.35098838167661
420,274.2955880059136
421,261.9884063876422
422,262.47054555444385
423,212.88397503330955
424,213.27530305413595
425,178.18290933420906
426,193.33422898132469
427,269.8209032306054
428,325.00986789390913
429,302.88894165316094
430,259.0399966377993
431,250.37802175730837
432,239.22569066801123
433,273.7754617479886
434,318.16499830435123
