time,cpu_index
411,90.36879163152953
412,90.66764278974432
413,90.39468410460374
414,91.60380566482151
415,91.90302801143136
416,91.83806910927966
417,92.7180036023616
418,92.95454459597747
419,93.49758434130753
420,93.69841872810915
421,94.34401774093823
422,94.12586360989788
423,94.31208581020158
424,95.24722493655814
425,95.34565107643313
426,95.55241256253036
427,95.1441879279163
428,95.324055239452
429,96.3365781761095
430,97.03611269633302
431,97.79968686207368
432,97.98130817113585
433,98.26320783588997
434,98.31439755918774
