time,cpu_index
411,135.1104823973402
412,119.46090523858106
413,136.75778663246436
414,181.95769947592595
415,164.87515313703
416,163.85375792250028
417,169.01210424867546
418,156.66780418675194
419,163.42112985068798
420,196.3997412560182
421,175.0808145099829
422,163.5199974922371
423,172.70472220561987
424,206.81009839311153
425,239.1150042585498
426,210.75386674238217
427,226.85697318038262
428,226.8033907103179
429,268.9822125250213
430,236.4054787132794
431,243.389861451071
432,273.4628891485204
433,286.6851796398686
434,310.8463435361338
