"Date","ARFIMA","ARIMA","ARNN","BSTS"
2022-07-01,200.493033756949,171.04672705923,147.59548699169,227.630724978517
2022-08-01,198.280433758536,170.61086056571,197.09390578318,226.713044224137
2022-09-01,195.958645236283,190.8069032491,168.177687259876,229.793459814562
2022-10-01,193.65746733057,192.12039598677,200.032763706066,230.118748993346
2022-11-01,191.473723335307,193.120476127772,150.87539219607,230.707314247236
2022-12-01,189.427831083749,200.445094302032,181.787843589403,232.754732084396
2023-01-01,187.516604764353,196.69157509763,214.626655557693,234.490479618779
2023-02-01,185.729892983579,191.9482638768,207.334512854955,234.79716994627
2023-03-01,184.056093571616,208.64799192936,210.829774066093,237.093116291472
2023-04-01,182.484039153857,192.359508343754,200.468369003563,238.255284437228
2023-05-01,181.003595088982,159.115684662165,182.45657678935,239.329374802451
2023-06-01,179.605778797499,168.240127732158,176.698756492733,239.200895233387
