time,cpu_index
411,127.28486181330815
412,89.09128912897644
413,158.21804785107489
414,128.16843916223354
415,123.01986495787123
416,130.96414907255323
417,177.86043490064597
418,198.97458292989324
419,236.03695069614176
420,267.20166127593893
421,256.5727046741695
422,249.17330468006477
423,221.46009587052708
424,216.75552145239632
425,199.58597966388564
426,208.3192898204732
427,254.7798681585591
428,317.2205766226062
429,284.3113182345429
430,243.86905945989716
431,224.1231059832398
432,249.77209563835754
433,275.70508774422
434,273.8299366938752
