"Date","ARNN","BSTS"
2022-07-31,105.069248995405,178.976564965039
2022-08-31,144.009684844536,178.590609183605
2022-09-30,118.532673761363,180.325161256283
2022-10-31,137.305337480909,180.15461338481
2022-11-30,120.181729986569,180.241122252383
2022-12-31,129.129055705199,180.193173704386
2023-01-31,151.407616946535,179.169218902385
2023-02-28,137.241885765211,179.29258569708
2023-03-31,149.286009760798,179.868809923803
2023-04-30,142.159891459386,179.713586114175
2023-05-31,145.90633945726,179.405984176776
2023-06-30,148.880034563682,177.78740681872
