"Date","ARNN","BSTS"
2021-07-31,141.591287264375,140.093060984515
2021-08-31,127.55494417043,141.181484382783
2021-09-30,120.131800526563,149.723816752277
2021-10-31,131.364427304479,148.568714276116
2021-11-30,146.328272492566,153.572256612998
2021-12-31,141.592689047534,155.626839133502
2022-01-31,124.729846945901,154.824500469754
2022-02-28,109.552738586971,135.63322699021
2022-03-31,98.1718271103303,141.385865199217
2022-04-30,81.7729713462904,138.350439663084
2022-05-31,100.017527125034,142.889892605135
2022-06-30,82.2936370171956,152.512263746938
2022-07-31,77.4787590015932,148.45007612233
2022-08-31,90.0010344665767,149.474703710847
2022-09-30,77.0223640004886,158.898760462918
2022-10-31,87.8662895210645,153.448457594761
2022-11-30,78.6481645080945,158.901244219916
2022-12-31,114.113261802337,161.106074020418
2023-01-31,127.734368103736,159.661143052441
2023-02-28,126.285231853772,145.144058947833
2023-03-31,138.087398491166,148.961118044661
2023-04-30,134.938026580375,146.916409867342
2023-05-31,139.203993081383,148.624023466378
2023-06-30,147.191792505206,160.808540790708
