,CPU_US
258,2.40295329408482
259,2.35536998675583
260,2.7707005781947793
261,2.0140680741713757
262,1.9426300732793185
263,2.8608540772547535
264,2.754443548874814
265,2.3918610672021656
266,1.2029959198662625
267,3.0674964464521928
268,2.6164479088919026
269,2.4857699314290382
270,3.1641924606717833
271,2.951150253326567
272,1.5865125697113713
273,2.4903236379877023
274,3.5281875680573296
275,3.097121655036167
276,3.3805673098040434
277,2.6567996061904458
278,3.678170754584084
279,3.1620239292433325
280,1.5563439980038256
281,4.684199902128105
