,CPU_US
258,3.9270007102633375
259,0.037859208484511964
260,2.570199784462988
261,-0.13846016326718802
262,-0.599536028709184
263,2.8244189807402393
264,4.586347666119176
265,1.276297062555
266,1.557031874287752
267,4.139364150638117
268,2.391946710919828
269,3.1449139577649055
270,6.243012810787944
271,9.951958317812396
272,1.5799034248727342
273,3.4545928704341073
274,7.456570067864004
275,4.058153276559566
276,0.1996248855025642
277,4.461000866480418
278,3.2731651579298364
279,3.3800031555402357
280,2.5608727164668266
281,2.3739596777778167
