,CPU_US
258,-0.4604732564632501
259,-1.6484476694999437
260,3.855202484524554
261,1.107372202229872
262,0.49360737511751673
263,5.251573481824153
264,2.2906422257198833
265,-0.41136513749443093
266,3.822939032710988
267,4.227903727776041
268,1.5232180578395313
269,4.7384763963537395
270,6.550721390777352
271,4.358951747546334
272,3.2346410132982424
273,0.44570897009418076
274,5.890345740697575
275,0.541294309769992
276,-0.6068952268622708
277,6.238045098809087
278,4.724409101843138
279,2.0693300806570205
280,3.85946932202664
281,2.936552583210106
