,CPU_US
258,2.8073317569808154
259,0.8368841050434841
260,0.6901791723304976
261,1.0306863193613744
262,1.2721220054275277
263,2.0852773664629503
264,2.7996150902390924
265,2.2742043184283025
266,2.0518415936192387
267,2.528560328069781
268,0.997813677727945
269,2.7202023133354762
270,2.1568394139071105
271,4.0608947633191175
272,2.72374465069217
273,5.077533229705763
274,4.000395944907684
275,4.326924998044236
276,2.1287252670759553
277,2.2966548738185946
278,2.6472022901481993
279,2.199172048097961
280,3.6982076794817944
281,3.633013584591578
