,GCPU(PPP-adjusted GDP)
258,153.83029749206582
259,120.88829585169519
260,89.67645114880808
261,68.31861790739342
262,76.8525938083714
263,109.8030579915293
264,77.71272598997405
265,71.14730954058156
266,105.67920712823218
267,137.49542098286352
268,141.6476030534021
269,128.70132774588382
270,144.13209886935164
271,150.1737242710644
272,153.4538665866463
273,157.0627779445357
274,197.13471664286706
275,234.14757526776972
276,167.48482449633772
277,136.45577502499677
278,141.59979681077206
279,176.7168119513887
280,216.13424486913965
281,188.69772554661353
