"Date","ARFIMA","ARIMA","ARNN","BSTS"
2022-07-31,2.47326892910422,0.443141842680025,0.851032452911663,2.77078144130811
2022-08-31,2.45618986970932,1.08425206524698,1.77630015788365,2.80089687142088
2022-09-30,2.43032561518274,0.980142725971524,1.10623965707994,2.81396959637157
2022-10-31,2.40346898032653,0.793468313264266,0.975306486856083,2.80059828203758
2022-11-30,2.37747533558297,0.863024007224086,0.495335553581679,2.85212125149393
2022-12-31,2.35288493078128,1.55678980005571,1.70540659581082,2.91946295312801
2023-01-31,2.32981852695246,1.43795077852905,2.28999337880072,2.94924766328056
2023-02-28,2.30824268201635,1.67717784687256,2.01251678071465,2.97619131160124
2023-03-31,2.28806653514577,2.24462773662947,2.60008866159985,3.02456395167988
2023-04-30,2.2691811768999,1.9340026058571,2.64151091931035,3.05160219180615
2023-05-31,2.25147643374059,2.76932957215588,2.3571600513222,3.06484228941652
2023-06-30,2.23484794705043,2.60468754609846,2.61721123511265,3.02910283252398
