,CPU_US
258,1.7777813816497399
259,2.447777689484616
260,2.146536263703332
261,1.9439336898736654
262,1.563032227585205
263,2.199496904217913
264,1.692444585005628
265,2.799594947025983
266,2.889502480850599
267,3.4570958655378217
268,4.093233478891444
269,2.3782973786135266
270,2.626578368972973
271,3.924364320908647
272,3.6183716743799277
273,3.1407241973703974
274,3.701018250179262
275,2.493025949531219
276,3.9346863946006927
277,2.7553545399544515
278,2.0394305787449905
279,2.05642560411592
280,2.630243860201624
281,3.3192062176576043
