,CPU_US
258,3.710176643112985
259,1.9889007414067432
260,3.0119252800859493
261,-0.6890621563873918
262,-0.5529504048713507
263,1.8338696970567547
264,4.063334235150108
265,1.9021141277698599
266,1.6308464423842495
267,1.7750671103944102
268,4.151738636065325
269,2.8185825128601385
270,6.0158604893870535
271,3.6540950220554542
272,1.4485243546844297
273,6.0805567377333745
274,7.503751509317493
275,7.561126127912661
276,5.133177886630058
277,5.490882183843514
278,6.430609943371763
279,3.467585671275339
280,3.5350139975066437
281,4.817282448683997
