,CPU_US
258,1.8305406339489472
259,2.9641788705355663
260,4.3206249642195855
261,0.8505275423631163
262,2.8590007816959195
263,2.000606480427536
264,2.4187541098108527
265,0.9672252397929108
266,3.8841733588379035
267,4.283997969099955
268,3.658287162176738
269,3.9631571406147144
270,2.909117775780454
271,3.608894705106722
272,1.8717855549836357
273,4.225306421355983
274,5.2230249218812475
275,5.570709287925997
276,4.0658221415085
277,4.8179527540835085
278,4.640441107287058
279,5.653230565776862
280,4.915767222041823
281,6.493019012906034
