,CPU_US
258,5.346791491737514
259,2.0457241146524017
260,1.1397888094730058
261,-1.9184800138690588
262,-0.7325796260566819
263,-0.3050981909114401
264,1.6956140162433533
265,5.1874452535838875
266,-0.0811827888346226
267,0.28591274594957206
268,-0.6242652732098293
269,0.8506551208111672
270,3.1882224958754604
271,0.9482114653875553
272,-0.01601836424266523
273,2.6466130264411776
274,4.397975872976428
275,5.55172697706149
276,0.12433594428075878
277,4.1130090645792485
278,5.974712704834429
279,2.4776445679670456
280,4.431890566941688
281,3.9294561948353115
